gender;parental level of education;math score;reading score;writing score
female;bachelor's degree;72;72;74
female;some college;69;90;88
female;master's degree;90;95;93
male;associate's degree;47;57;44
male;some college;76;78;75
female;associate's degree;71;83;78
female;some college;88;95;92
male;some college;40;43;39
male;high school;64;64;67
female;high school;38;60;50
male;associate's degree;58;54;52
male;associate's degree;40;52;43
female;high school;65;81;73
male;some college;78;72;70
female;master's degree;50;53;58
female;some high school;69;75;78
male;high school;88;89;86
female;some high school;18;32;28
male;master's degree;46;42;46
female;associate's degree;54;58;61
male;high school;66;69;63
female;some college;65;75;70
male;some college;44;54;53
female;some high school;69;73;73
male;bachelor's degree;74;71;80
male;master's degree;73;74;72
male;some college;69;54;55
female;bachelor's degree;67;69;75
male;high school;70;70;65
female;master's degree;62;70;75
female;some college;69;74;74
female;some college;63;65;61
female;master's degree;56;72;65
male;some college;40;42;38
male;some college;97;87;82
male;associate's degree;81;81;79
female;associate's degree;74;81;83
female;some high school;50;64;59
female;associate's degree;75;90;88
male;associate's degree;57;56;57
male;associate's degree;55;61;54
female;associate's degree;58;73;68
female;associate's degree;53;58;65
male;some college;59;65;66
female;associate's degree;50;56;54
male;associate's degree;65;54;57
female;associate's degree;55;65;62
female;high school;66;71;76
female;associate's degree;57;74;76
male;high school;82;84;82
male;some college;53;55;48
male;associate's degree;77;69;68
male;some college;53;44;42
male;high school;88;78;75
female;some high school;71;84;87
female;high school;33;41;43
female;associate's degree;82;85;86
male;associate's degree;52;55;49
male;some college;58;59;58
female;some high school;0;17;10
male;bachelor's degree;79;74;72
male;some high school;39;39;34
male;associate's degree;62;61;55
female;associate's degree;69;80;71
female;some high school;59;58;59
male;some high school;67;64;61
male;some high school;45;37;37
female;some college;60;72;74
male;associate's degree;61;58;56
female;associate's degree;39;64;57
female;some college;58;63;73
male;some college;63;55;63
female;associate's degree;41;51;48
male;some high school;61;57;56
male;some high school;49;49;41
male;associate's degree;44;41;38
male;some high school;30;26;22
male;bachelor's degree;80;78;81
female;some high school;61;74;72
female;master's degree;62;68;68
female;associate's degree;47;49;50
male;high school;49;45;45
male;some college;50;47;54
male;associate's degree;72;64;63
male;high school;42;39;34
female;some college;73;80;82
female;some college;76;83;88
female;associate's degree;71;71;74
female;some college;58;70;67
female;some high school;73;86;82
female;bachelor's degree;65;72;74
male;high school;27;34;36
male;high school;71;79;71
male;associate's degree;43;45;50
female;some college;79;86;92
male;associate's degree;78;81;82
male;some high school;65;66;62
female;some college;63;72;70
female;some college;58;67;62
female;bachelor's degree;65;67;62
male;some college;79;67;67
male;bachelor's degree;68;74;74
female;associate's degree;85;91;89
male;high school;60;44;47
male;some college;98;86;90
female;some college;58;67;72
female;master's degree;87;100;100
male;associate's degree;66;63;64
female;associate's degree;52;76;70
female;some high school;70;64;72
female;associate's degree;77;89;98
male;high school;62;55;49
male;associate's degree;54;53;47
female;some college;51;58;54
female;bachelor's degree;99;100;100
male;high school;84;77;74
female;bachelor's degree;75;85;82
female;bachelor's degree;78;82;79
female;some high school;51;63;61
female;some college;55;69;65
female;bachelor's degree;79;92;89
male;associate's degree;91;89;92
female;some college;88;93;93
male;high school;63;57;56
male;some college;83;80;73
female;high school;87;95;86
male;some high school;72;68;67
male;some college;65;77;74
male;master's degree;82;82;74
female;bachelor's degree;51;49;51
male;master's degree;89;84;82
male;some high school;53;37;40
male;some college;87;74;70
female;some college;75;81;84
male;bachelor's degree;74;79;75
male;bachelor's degree;58;55;48
male;some high school;51;54;41
male;high school;70;55;56
female;associate's degree;59;66;67
male;some college;71;61;69
female;some high school;76;72;71
female;some college;59;62;64
female;some college;42;55;54
male;high school;57;43;47
male;some college;88;73;78
female;some college;22;39;33
male;some high school;88;84;75
male;associate's degree;73;68;66
female;bachelor's degree;68;75;81
male;associate's degree;100;100;93
male;some high school;62;67;69
male;bachelor's degree;77;67;68
female;associate's degree;59;70;66
male;bachelor's degree;54;49;47
male;some high school;62;67;61
female;some college;70;89;88
female;high school;66;74;78
male;some college;60;60;60
female;associate's degree;61;86;87
male;associate's degree;66;62;64
male;associate's degree;82;78;74
female;some college;75;88;85
male;master's degree;49;53;52
male;high school;52;53;49
female;master's degree;81;92;91
female;bachelor's degree;96;100;100
male;high school;53;51;51
female;master's degree;58;76;78
female;high school;68;83;78
female;some college;67;75;70
male;high school;72;73;74
male;some high school;94;88;78
female;some college;79;86;81
female;associate's degree;63;67;70
female;bachelor's degree;43;51;54
female;master's degree;81;91;87
female;high school;46;54;58
female;associate's degree;71;77;77
female;master's degree;52;70;62
female;some high school;97;100;100
male;master's degree;62;68;75
female;some college;46;64;66
female;high school;50;50;47
female;associate's degree;65;69;70
male;some high school;45;52;49
male;associate's degree;65;67;65
male;high school;80;76;65
male;some high school;62;66;68
male;some high school;48;52;45
female;bachelor's degree;77;88;87
female;associate's degree;66;65;69
male;some college;76;83;79
female;some high school;62;64;66
male;some college;77;62;62
female;master's degree;69;84;85
male;associate's degree;61;55;52
male;some high school;59;69;65
male;high school;55;56;51
female;some college;45;53;55
female;bachelor's degree;78;79;76
female;associate's degree;67;84;86
female;some college;65;81;77
male;associate's degree;69;77;69
female;associate's degree;57;69;68
male;some college;59;41;42
male;some high school;74;71;78
male;bachelor's degree;82;62;62
male;high school;81;80;76
female;some college;74;81;76
female;some college;58;61;66
